,points,title,description,taster_name,taster_twitter_handle,price,designation,variety,region_1,region_2,province,country,winery
4064,92,Seven Hills 2014 Pentad Red (Walla Walla Valley (WA)),"This blend of Cabernet Sauvignon, Petit Verdot, Carménère, Malbec and Cabernet Franc offers aromas of purple fruit, green herb, clove, barrel spice and spice box. It's light and supple, filling out with palate-coating fruit flavors. The tannins bring a bit of grip that softens with additional time open. Put it on the dinner table to see it at its best.",Sean P. Sullivan,@wawinereport,75.0,Pentad,Bordeaux-style Red Blend,Walla Walla Valley (WA),Columbia Valley,Washington,US,Seven Hills
4065,92,Seven Hills 2014 Reserve Cabernet Sauvignon (Red Mountain),"Aromas of barrel spice are up front on this locked-up wine, followed by pencil lead, herb, vanilla, black currant and cherry. The palate brings a compelling sense of texture, juxtaposed by aggressive tannins that need a significant amount of time to come into their own. Don't go near it for a decade but it should last well beyond that. Best from 2027–2035.",Sean P. Sullivan,@wawinereport,75.0,Reserve,Cabernet Sauvignon,Red Mountain,Columbia Valley,Washington,US,Seven Hills
4066,92,Starmont 2016 Rosé of Pinot Noir (Carneros),"Sourced from the Stanly Ranch Vineyard, among other sites, this 100% varietal wine is light pink-orange in hue, and citrus-driven in flavor. Cherry and strawberry notes complement the lemon and grapefruit, delivering a refreshingly lengthy zip of acidity.",Virginie Boone,@vboone,19.0,Rosé of,Pinot Noir,Carneros,Napa-Sonoma,California,US,Starmont
4067,92,Stewart Cellars 2016 Sauvignon Blanc (Napa Valley),"Fermented in stainless steel and neutral oak, this light-bodied, well-structured white impresses with pretty citrus blossom scents and tart, high-toned acidity. Pungent with lemon and lime flavor, it develops bolder melon and pear notes as it opens in the glass.",Virginie Boone,@vboone,25.0,,Sauvignon Blanc,Napa Valley,Napa,California,US,Stewart Cellars
4068,92,Undurraga 2013 Vigno Old Vines Dry-Farmed Red (Maule Valley),"Piercing black cherry and cassis aromas are a touch rustic and massive, but hey, that's old-vines Carignan from Maule (this one also contains 12% Cinsault). So saturated that it's beastly on the palate, this tastes of hard-rolling blackberry and black plum. Plenty of gritty spice, tomato and integrated oak fill out the menu. Drink through 2025.",Michael Schachner,@wineschach,35.0,Vigno Old Vines Dry-Farmed,Red Blend,,,Maule Valley,Chile,Undurraga
4069,92,Waxwing 2015 Halcon Vineyard Syrah (Yorkville Highlands),"Great concentration and textural density make this full-bodied and firmly structured wine stand out. Blackberry, black pepper and clove aromas fill the glass while the palate brings out layers of blackberry and dark chocolate notes. With all that structure and flavor, this will be interesting to age a few years. Best after 2021.",Jim Gordon,@gordone_cellars,50.0,Halcon Vineyard,Syrah,Yorkville Highlands,North Coast,California,US,Waxwing
4070,92,Whalebone 2013 Reserve Cabernet Sauvignon (Paso Robles),"From a vineyard named for the oceanic deposits found there, this bottling offers blackberry syrup, vanilla, clove and black tea aromas. Like the nose, the palate offers a minty lift to its boysenberry and blackberry fruit. It's framed by strong acidity and soft tannins that build after several sips.",Matt Kettmann,@mattkettmann,55.0,Reserve,Cabernet Sauvignon,Paso Robles,Central Coast,California,US,Whalebone
4071,92,Wunsch & Mann 2013 Steingrubler Grand Cru Riesling (Alsace),"A touch of lanolin plays alongside dried citrus peel on the nose. The palate has richer rounder notes of dried and fresh pear alongside a lively streak of lemon freshness. This is just on the cusp of evolution and will continue to develop. The depth of lemony fruit is there to sustain it. The finish is long, lasting, lemony and dry.",Anne Krebiehl MW,@AnneInVino,,Steingrubler Grand Cru,Riesling,Alsace,,Alsace,France,Wunsch & Mann
4072,92,Joseph Swan Vineyards 2013 Saralee's Vineyard Pinot Noir (Russian River Valley),"Light and cloudy in the glass, this wine shows a carbonic earthiness that's welcoming and complex. Forest floor, mushroom, pine and cola flavors permeate the palate in a delicately savory way, finishing bright and crisp.",Virginie Boone,@vboone,42.0,Saralee's Vineyard,Pinot Noir,Russian River Valley,Sonoma,California,US,Joseph Swan Vineyards
4073,92,Klinker Brick 2014 Old Ghost Old Vine Zinfandel (Lodi),"While quite ripe and fruity, this wine is also dry, nicely tannic and firmly textured, so it will pair beautifully with rich proteins. Aged 18 months in oak, mostly French, it has concentrated dark fruit aromas, and a layered array of flavors that recalls blueberry, dark chocolate and blackberry syrup. Bright acidity keeps everything in balance.",Jim Gordon,@gordone_cellars,37.0,Old Ghost Old Vine,Zinfandel,Lodi,Central Valley,California,US,Klinker Brick
4074,92,Kooyong 2015 Estate Pinot Noir (Mornington Peninsula),"The 2015 vintage in Mornington yielded dark concentrated wines. This one is atypically (for the estate) full bodied and bold as a result, with plum and black-cherry fruit and hints of mint, sage and bay leaf. Long and a bit drying on the finish, it needs a couple of years to come into balance. Drink 2020–2030.",Joe Czerwinski,@JoeCz,56.0,Estate,Pinot Noir,Mornington Peninsula,,Victoria,Australia,Kooyong
4075,92,Margerum 2015 D Sauvignon Blanc (Happy Canyon of Santa Barbara),"Extremely light in color, this top-shelf Sauvignon Blanc from McGinley and Grassini vineyards is compelling on all fronts. Fresh, lively and suave key lime, sliced nectarine and wet sidewalk aromas mark the nose. The palate is tense and nervy, with a grippy texture and energetic acidity that invigorates its crisp citrus and river stone flavors.",Matt Kettmann,@mattkettmann,36.0,D,Sauvignon Blanc,Happy Canyon of Santa Barbara,Central Coast,California,US,Margerum
4076,92,Mark Ryan 2014 Crazy Mary Mourvèdre (Red Mountain),"100% varietal, this wine is a blend of fruit from Ciel du Cheval and Force Majeure vineyards. The dark fruit, mineral, meat, white pepper, green herb and savory aromas are initially brooding but intriguing. The palate packs a big wallop of dark-fruit flavors, bringing a lot of hedonistic appeal. It's not for the faint of heart but it delivers.",Sean P. Sullivan,@wawinereport,48.0,Crazy Mary,Mourvèdre,Red Mountain,Columbia Valley,Washington,US,Mark Ryan
4077,92,Passing Time 2014 Cabernet Sauvignon (Red Mountain),"The inaugural release of this wine, this hails largely from the esteemed Klipsun Vineyard. Alluring aromas of herb, earth, cherry liqueur and black fruit lead to sweet, sappy black-fruit flavors and burly but still well-integrated tannins. It's only going to get better with additional time in the bottle. Best after 2023.",Sean P. Sullivan,@wawinereport,75.0,,Cabernet Sauvignon,Red Mountain,Columbia Valley,Washington,US,Passing Time
4078,92,Domaine Zind-Humbrecht 2015 Herrenweg de Turckheim Riesling (Alsace),"A bright dash of lemon is colored with a hint of yeast and flint. The palate, which brims with ripe Amalfi lemon notes, also has that slight flinty stony touch. But it is the lemon that characterizes the compact, precise and dry body. It is the zestiness that brightens and enlivens. Very refreshing, with wonderful balance and tension. Drink now through 2027.",Anne Krebiehl MW,@AnneInVino,40.0,Herrenweg de Turckheim,Riesling,Alsace,,Alsace,France,Domaine Zind-Humbrecht
4079,92,Domaine Zind-Humbrecht 2015 Turckheim Pinot Gris (Alsace),"Both amplitude and generosity are apparent from the first sniff with ripe pear dominating the flavor spectrum. The body is concentrated and balances the full fruit with pleasant tingling zestiness. This is dry and precisely drawn, with a zesty finish.",Anne Krebiehl MW,@AnneInVino,26.0,Turckheim,Pinot Gris,Alsace,,Alsace,France,Domaine Zind-Humbrecht
4080,92,Domaine Zind-Humbrecht 2015 Turckheim Riesling (Alsace),"Grapefruit and quince make for an exciting opening amidst some yeasty notes. On the palate, aromatic quince and plum notes reflect the generosity of the vintage while remaining dry and light-bodied. There is an ease here, of drinking and thinking, of sipping and being refreshed. This goes down far too easily on deceptively light feet. The finish is of refreshing lemon zest.",Anne Krebiehl MW,@AnneInVino,26.0,Turckheim,Riesling,Alsace,,Alsace,France,Domaine Zind-Humbrecht
4081,92,Dry Creek Vineyard 2014 Cabernet Sauvignon (Dry Creek Valley),"This well-made wine, blended with small percentages of Petit Verdot, Cabernet Franc, Malbec and Merlot, is an astounding value. Currant and cranberry notes and an underbelly of tannins play together in a smooth texture of rich concentration.",Virginie Boone,@vboone,26.0,,Cabernet Sauvignon,Dry Creek Valley,Sonoma,California,US,Dry Creek Vineyard
4082,92,François Baur 2015 Herrenweg Pinot Gris (Alsace),"Lifted, almost herbal citrus freshness dominates the nose, making for an inviting appetizing opening. The palate comes in with generous ripe pear fruit on a slender body. The flavors are boosted by some residual sweetness. The off-dry finish is of lasting, adorably brilliant, pure pear fruit.",Anne Krebiehl MW,@AnneInVino,20.0,Herrenweg,Pinot Gris,Alsace,,Alsace,France,François Baur
4083,92,Fulcrum 2015 Brosseau Vineyard Pinot Noir (Chalone),"Incredibly suave dark strawberry and cherry aromas meld with chocolate and dusty earth notes on the nose of this bottling from one of the appellation's largest vineyards. The palate is more tightly wound, offering dried thyme, bay leaf and peppercorn instead of opulent fruit.",Matt Kettmann,@mattkettmann,60.0,Brosseau Vineyard,Pinot Noir,Chalone,Central Coast,California,US,Fulcrum
4084,92,Guarachi Family 2015 Pinot Noir (Sonoma Coast),"This small-production wine from two spectacular sites in the Petaluma Gap is robustly earthy and spicy, showing compost and blue fruit flavor. Broadly structured, it expands on the palate, its finish dotted with black tea and clove.",Virginie Boone,@vboone,65.0,,Pinot Noir,Sonoma Coast,Sonoma,California,US,Guarachi Family
4085,92,Gustave Lorentz 2013 Burg Riesling (Alsace),"Fresh notes of ripe lemon zest are suffused with hay flower and earth notes. The palate majors on zesty, lively and aromatic citrus: tangerine and Amalfi lemon above all. This is dry and bright, slender and precise, yet never lets go of its earthy touch. The finish is expansive and clean.",Anne Krebiehl MW,@AnneInVino,34.0,Burg,Riesling,Alsace,,Alsace,France,Gustave Lorentz
4086,92,Hoi Polloi 2014 Syrah (Sta. Rita Hills),"This new project from a co-founder of the popular Garagiste Festivals is promising. This bottling shows elegant violet, beef char, graphite and boysenberry notes on the nose. The palate is more pungent with its dark fruit, anise, pepper and roast beef flavors, finishing on a caramelized note.",Matt Kettmann,@mattkettmann,48.0,,Syrah,Sta. Rita Hills,Central Coast,California,US,Hoi Polloi
4087,92,Hunnicutt 2014 CUTT Fearless Red (Napa Valley),"This is a blend of 35% Syrah, 30% Cabernet Sauvignon, 21% Zinfandel and 14% Merlot. It impresses with rich blueberry pie, spicy clove and black pepper flavors while offering a lively experience on the palate that finishes long, with leathery texture and complexity.",Virginie Boone,@vboone,45.0,CUTT Fearless,Red Blend,Napa Valley,Napa,California,US,Hunnicutt
4088,92,Work 2013 Lamya's Cabernet Sauvignon (Napa Valley),"From a site in Calistoga, this wine delivers juicy tobacco, char and black fruit flavors, with a concentrated structure and new French and American oak. Savory leather and black pepper notes close out the long finish.",Virginie Boone,@vboone,90.0,Lamya's,Cabernet Sauvignon,Napa Valley,Napa,California,US,Work
4089,91,Jaxon 2013 Syrah (Rogue Valley),"This interesting, complex wine moves from tangy candied citrus to baking spices and long concentrated flavors of dried plum, apricot and more. Think Christmas fruitcake with a touch of leather and you're there.",Paul Gregutt,@paulgwine ,30.0,,Syrah,Rogue Valley,Southern Oregon,Oregon,US,Jaxon
4090,87,Rutherford Ranch 2013 Rhiannon Red (Napa Valley),"This is a soft, simple, red fruit-driven blend of four Bordeaux varieties, the fruit complemented by a twist of cedar and mint.",Virginie Boone,@vboone,42.0,Rhiannon,Bordeaux-style Red Blend,Napa Valley,Napa,California,US,Rutherford Ranch
4091,87,Tertulia 2012 Phinny Hill Vineyard Cabernet Sauvignon (Horse Heaven Hills),"Brooding aromas of spice box, herb, purple fruit and wood spice are followed by medium-bodied cranberry flavors. The tannins bring a sense of astringency, requiring some time in the cellar to (hopefully?) soften.",Sean P. Sullivan,@wawinereport,45.0,Phinny Hill Vineyard,Cabernet Sauvignon,Horse Heaven Hills,Columbia Valley,Washington,US,Tertulia
4092,87,Tertulia 2016 Elevation Estate Vineyard Marsanne (Walla Walla Valley (WA)),"Aged in stainless steel, this wine comes from a new wine-growing region in the cataracts of the North fork of the Walla Walla River. The aromas are quite faint initially. The palate is on the lighter side of medium bodied, with tart flavors. It lacks a sense of clear direction.",Sean P. Sullivan,@wawinereport,20.0,Elevation Estate Vineyard,Marsanne,Walla Walla Valley (WA),Columbia Valley,Washington,US,Tertulia
4093,87,Thomas Carteron 2016 L'Excellence Rosé (Côtes de Provence),"Proudly claiming to be a blend of eight grape varieties, this wine is soft and gently fruity with a spicy background that gives it a bitter edge. That will blow off in a few months, so drink this food friendly wine from late 2017.",Roger Voss,@vossroger,20.0,L'Excellence,Rosé,Côtes de Provence,,Provence,France,Thomas Carteron
4094,87,Tormaresca 2016 Calafuria Negroamaro Rosato (Salento),"Red berry, violet and a whiff of clove lead the nose. Bright and fruity, the refreshing palate doles out crushed raspberry, wild cherry and a savory note of pink peppercorn.",Kerin O’Keefe,@kerinokeefe,,Calafuria Negroamaro,Rosato,Salento,,Southern Italy,Italy,Tormaresca
4095,87,Ponga 2015 Sauvignon Blanc (Marlborough),"Another impressive bargain-priced 2015 Sauvignon Blanc. Consumers looking for summer 2017 refreshment should grab some of this for its crisp flavors of pineapple, passion fruit and grapefruit. Drink now.",Joe Czerwinski,@JoeCz,12.0,,Sauvignon Blanc,,,Marlborough,New Zealand,Ponga
4096,87,Borsao 2013 Berola Red (Campo de Borja),"Aromas of stewed berry fruits and damp leaves lack freshness but are not spoiled. This Garnacha-based blend feels thick and resiny, almost to the point of syrupy. Creamy oaky stewed berry flavors finish with an herbal hint and sticky tannins.",Michael Schachner,@wineschach,,Berola,Red Blend,Campo de Borja,,Northern Spain,Spain,Borsao
4097,87,Brooklyn West 2012 Barbera (Amador County),"Cherry and raspberry aromas are accented by a spicy, earthy quality in this easy-drinking, well-balanced wine, and the flavors gush with fruit. It's smooth and polished on the palate, medium in body and light in tannin.",Jim Gordon,@gordone_cellars,29.0,,Barbera,Amador County,Sierra Foothills,California,US,Brooklyn West
4098,87,Lemelson 2014 Chestnut Hill Vineyard Pinot Noir (Chehalem Mountains),"There's just not much here. The strawberry fruit is wispy thin, the acids tart, the tannins light, and the whole shebang shows only modest depth and grip.",Paul Gregutt,@paulgwine ,54.0,Chestnut Hill Vineyard,Pinot Noir,Chehalem Mountains,Willamette Valley,Oregon,US,Lemelson
4099,87,Airfield Estates 2015 Viognier (Yakima Valley),"Aromas of tangerine zest, peach and flower are followed by dry clean fruit flavors that show no apparent oak influence, with citrus notes lingering on the finish.",Sean P. Sullivan,@wawinereport,15.0,,Viognier,Yakima Valley,Columbia Valley,Washington,US,Airfield Estates
4100,87,Bertaini 2016 Sereole  (Soave Colli Scaligeri),"This opens with white flower, yellow stone fruit and honeydew melon aromas. The fruity sensations carry over to the palate, with a tangerine zest note and tangy acidity that leads to a juicy finish.",Kerin O’Keefe,@kerinokeefe,,Sereole,Garganega,Soave Colli Scaligeri,,Veneto,Italy,Bertaini
4101,87,Bridlewood 2015 Pinot Noir (California),"Black pepper and rosemary aromas join forces with black cherry and blackberry flavors in this well-balanced, moderately tannic wine. It has a refreshing quality, tasty fruit and medium body, all of which will make it versatle with food.",Jim Gordon,@gordone_cellars,13.0,,Pinot Noir,California,California Other,California,US,Bridlewood
4102,87,Trivento 2016 White Orchid Reserve Torrontés (Mendoza),"Tropical aromas are a tiny bit grassy and oily. In the mouth, this is acidic and tangy, while lime and green-herb flavors are snappy. Crisp citric acidity creates sizzle on a racy finish.",Michael Schachner,@wineschach,11.0,White Orchid Reserve,Torrontés,Mendoza,,Mendoza Province,Argentina,Trivento
4103,87,Vionta 2015 Limited Release Albariño (Rías Baixas),"As this enters its second year in bottle, the nose is still clean and punchy, much like fruit salad. A plump solid mouthfeel holds flavors of salty peach. Beyond that, there's not a lot to say about this standard Albariño. Drink immediately.",Michael Schachner,@wineschach,15.0,Limited Release,Albariño,Rías Baixas,,Galicia,Spain,Vionta
4104,87,Wilson 2014 Carl's Estate Zinfandel (Dry Creek Valley),"Vanilla, cherry and raspberry flavors are complemented by smoky meat and tar in this softly built, mellow and pensively sweet wine that's ripe and generous in body.",Virginie Boone,@vboone,42.0,Carl's Estate,Zinfandel,Dry Creek Valley,Sonoma,California,US,Wilson
4105,87,Winzerkeller Andau 2016 Blaufränkisch Rosé (Burgenland),"This wine opens with a touch of fleshy ripeness. The palate is expansive, brimming with fresh red berry notes. Light in body, it finishes with uplifting lemon.",Anne Krebiehl MW,@AnneInVino,13.0,Blaufränkisch,Rosé,,,Burgenland,Austria,Winzerkeller Andau
4106,87,Highland Cellars 2015 Dry Riesling (Finger Lakes),This easygoing off-dry Riesling boasts pretty orange blossom and white-peach perfume. Crisp stone-fruit flavors on the palate are accented by honey and bee pollen. The finish is long and zesty.,Anna Lee C. Iijima,,15.0,Dry,Riesling,Finger Lakes,Finger Lakes,New York,US,Highland Cellars
4107,87,Hightower 2013 Cabernet Sauvignon (Red Mountain),"The aromas come off as quite green, with notes of bell pepper and garden herbs more reminiscent of a Cabernet Franc. The flavors are elegant and show more of the same. It's an exploration of Cabernet's greener side, surprising considering the warmer vintage and region.",Sean P. Sullivan,@wawinereport,36.0,,Cabernet Sauvignon,Red Mountain,Columbia Valley,Washington,US,Hightower
4108,87,Burnside Road 2014 Zinfandel (Sonoma County),"This leathery, full-bodied red is rich with blueberry cobbler, coffee and smoked meat flavors. Soft and round in structure, it tastes robustly varietal.",Virginie Boone,@vboone,18.0,,Zinfandel,Sonoma County,Sonoma,California,US,Burnside Road
4109,87,CàMaiol 2015  Lugana,"On the nose, this suggests thyme, toasted nut and ripe orchard fruit. The firm palate offers mature citrus zest and ripe pear flavors while a bitter almond note marks the finish.",Kerin O’Keefe,@kerinokeefe,26.0,,Turbiana,Lugana,,Lombardy,Italy,CàMaiol
4110,87,Cantina di Monteforte 2016 Vicario  (Soave Classico),"Spring blossom and white stone fruit aromas delicately set the tone for this wine. On the straightforward palate, fresh acidity underscores ripe pear and yellow apple flavors while a hint of almond signals the close.",Kerin O’Keefe,@kerinokeefe,10.0,Vicario,Garganega,Soave Classico,,Veneto,Italy,Cantina di Monteforte
4111,87,Cantine Grasso 2015 Caporosso Nero d'Avola (Sicilia),"This Nero d'Avola has black-skinned berry, blue flower and black pepper aromas. The easygoing palate conveys mature black cherry and raspberry jam, with round tannins. Enjoy soon.",Kerin O’Keefe,@kerinokeefe,11.0,Caporosso,Nero d'Avola,Sicilia,,Sicily & Sardinia,Italy,Cantine Grasso
4112,87,Cass 2016 Mr. Blanc White (Paso Robles),"This blend of 75% Marsanne and 25% Roussanne is extremely floral, fruity and tropical on the nose, with coconut, mango, guava and tuberose scents. Acidity helps keep that ripeness in check on the palate, but the tropical flavor is powerfully persistent.",Matt Kettmann,@mattkettmann,20.0,Mr. Blanc,Rhône-style White Blend,Paso Robles,Central Coast,California,US,Cass
4113,87,Castello di Spessa 2015 Ribolla Gialla (Collio),"This wine's golden apple, yellow pear and beeswax aromas carry over to the bright, straightforward palate, along with a hint of citrus. It has a clean, fresh finish.",Kerin O’Keefe,@kerinokeefe,25.0,,Ribolla Gialla,Collio,,Northeastern Italy,Italy,Castello di Spessa
4114,87,Cedar River Cellars 2014 It's a Long Way Barrel Select Cabernet Franc (Yakima Valley),"Hailing from Two Blondes Vineyard, the aromas bring unusual, not entirely married notes of ham hock, bacon fat, herb and vanilla. The palate mixes smooth-feeling fruit and savory flavors. It's a unique wine, not for all tastes.",Sean P. Sullivan,@wawinereport,40.0,It's a Long Way Barrel Select,Cabernet Franc,Yakima Valley,Columbia Valley,Washington,US,Cedar River Cellars
4115,87,Château Carpe Diem 2016 Castillo Rosé (Côtes de Provence),"A rich blend of Grenache and Cinsault, this is rounded and generous. With ripe strawberry fruit and a full mouthfeel, the wine is packed with berries and light acidity. Drink now.",Roger Voss,@vossroger,24.0,Castillo,Rosé,Côtes de Provence,,Provence,France,Château Carpe Diem
4116,87,Château d'Astros 2016 Domaine d'Astros Cuvée Prestige Rosé,"Just north of Saint-Tropez, this large estate has produced a rounded fruity wine. It has a soft crushed strawberry flavor that is balanced by attractive generous acidity. The wine is ready to drink.",Roger Voss,@vossroger,15.0,Domaine d'Astros Cuvée Prestige,Rosé,,,Provence,France,Château d'Astros
4117,87,Château la Calisse 2016 Rosé (Coteaux Varois en Provence),"From the color, it could be a white wine. To taste, though, it is certainly rosé. It has an attractive crisp character with plenty of bright fruit and acidity. The aftertaste continues the dry fruity theme. Drink now.",Roger Voss,@vossroger,30.0,,Rosé,Coteaux Varois en Provence,,Provence,France,Château la Calisse
4118,87,Château Roubine 2016 La Vie en Rosé (Côtes de Provence),"The rose-embossed bottle sets the scene for a soft, perfumed and fruity wine. It has attractive acidity as well as ripe red berries. With its spice and herbal edge, the wine is also textured, a contrast to the fine fruit. Drink now.",Roger Voss,@vossroger,18.0,La Vie en,Rosé,Côtes de Provence,,Provence,France,Château Roubine
4119,87,Compagnie Viticole de Provence 2016 Domaine Saint Jean le Vieux Rosé (Côtes de Provence),"Grenache, Cinsault and Syrah form a soft warm blend that is ready to drink. It has acidity and spice as well as red berries. It's a fine apéritif style with its light touch and final crispness. Drink now.",Roger Voss,@vossroger,13.0,Domaine Saint Jean le Vieux,Rosé,Côtes de Provence,,Provence,France,Compagnie Viticole de Provence
4120,85,Ecker 2010 Grüner Veltliner (Austria),"Rounded and creamy wine. It has an edge of pepper, its acidity melding easily into the apple and pear fruit flavors. It finishes easily with a ripe pineapple note. Screwcap.",Roger Voss,@vossroger,16.0,,Grüner Veltliner,,,Austria,Austria,Ecker
4121,85,Fontana Candida 2010  Frascati Superiore,"A Roman classic that often appears on trattoria tables besides grilled vegetables or insalata di mare, this classic Frascati Superiore offers subtle aromas of dried hay, citrus and pear.",,,10.0,,White Blend,Frascati Superiore,,Central Italy,Italy,Fontana Candida
4122,85,Hahn 2010 Nicky Hahn Pinot Noir (Monterey),"Lots of raspberry and cherry fruit in this Pinot Noir. It's sweet and fruity and crisp in acidity, with a sweet coat of vanilla oak. Drink now.",,,12.0,Nicky Hahn,Pinot Noir,Monterey,Central Coast,California,US,Hahn
4123,84,Capestrano 2009 Passerina (Marche),"Here's an easy, no-fuss white wine from central Italy (made with native Passerina grapes) that offers subtle aromas of peach and citrus over a bright, zesty mouthfeel. Pair this wine with fried vegetable tempura.",,,13.0,,Passerina,Marche,,Central Italy,Italy,Capestrano
4124,84,Cas'Almare 2010 Torrontés (Mendoza),"Smells wet and salinic, with a slightly acrid note coming on late. Feels tangy, tight and zesty, with oily lime and lychee flavors. Finishes hard, nutty and mildly bitter.",Michael Schachner,@wineschach,15.0,,Torrontés,Mendoza,,Mendoza Province,Argentina,Cas'Almare
4125,84,Chain Gang 2009 Red (Sonoma County),"A sweet, soft wine, very ripe, almost porty. The blackberry and chocolate flavors have an edge of raisins, which makes it slightly bitter.",,,18.0,,Red Blend,Sonoma County,Sonoma,California,US,Chain Gang
4126,84,Cortenova 2010 Pinot Grigio (Delle Venezie),"This well-priced Pinot Grigio (in a screwcap bottle) is simple and clean with crisp aromas of lemon drop and white peach backed by a tight, bright feel in the mouth.",,,10.0,,Pinot Grigio,Delle Venezie,,Northeastern Italy,Italy,Cortenova
4127,84,Domaine Costa Lazaridi 2010 Oenodea White (Drama),"This white blend of Malagousia and Moscholfilero starts with aromas of bright citrus, tropical fruit and a hint of musky spice. On the palate, it's a creamy blend of tropical fruit and peach, though slightly clumsy. The wine finishes with a spicy spin.",Susan Kostrzewa,@suskostrzewa,17.0,Oenodea,White Blend,,,Drama,Greece,Domaine Costa Lazaridi
4128,84,Farnese 2009  Trebbiano d'Abruzzo,There's a mature note of apricot or cantaloupe melon that opens the nose of this golden Trebbiano-based wine from central Italy. That ripe fruit element is backed by a drying touch of talc powder or crushed mineral.,,,9.0,,Trebbiano,Trebbiano d'Abruzzo,,Central Italy,Italy,Farnese
4129,84,François Lurton 2011 Pinot Gris (Mendoza),"Hard and like a match on the nose, with sulfur and peach pit aromas. Has a good mouthfeel to support pithy peach and green melon flavors. Finishes creamy, but with a mild bitterness.",Michael Schachner,@wineschach,13.0,,Pinot Gris,Mendoza,,Mendoza Province,Argentina,François Lurton
4130,84,Haut Marin 2010 Rosé (Côtes de Gascogne),"Made from Cabernet Sauvignon, this is a caramel-dominated rosé, the red berry fruit some way behind. It is fresh, with some attractive acidity. Screwcap.",Roger Voss,@vossroger,,,Rosé,Côtes de Gascogne,,Southwest France,France,Haut Marin
4131,84,Hensley 2009 Hillside Cabernet Sauvignon (Napa Valley),"There's too much of everything in this Cabernet. The fruit is massively extracted and sweetly jammy. The oak is a heavy plaster of sweet caramel. The result is impressive for sheer size, but unbalanced. Unlikely to improve with age.",,,49.0,Hillside,Cabernet Sauvignon,Napa Valley,Napa,California,US,Hensley
4132,84,Kouros 2008 Agiorgitiko (Nemea),"This wine starts with aromas of black pepper, anise and grape candy followed by a combination of wild cherry, cocoa and pepper on the palate. A soft character with a slight kick. Pair with poultry, cheese, pork.",Susan Kostrzewa,@suskostrzewa,13.0,,Agiorgitiko,,,Nemea,Greece,Kouros
4133,84,Kumbaya 2010 White (California),"The varietal mix of this wine, which is undisclosed on the label, doesn't matter. All you need to know is that it's slightly sweet, soft and simple in citrus, pear and honeysuckle flavors.",,,9.0,,White Blend,California,California Other,California,US,Kumbaya
4134,84,La di Motte 2010 Pinot Grigio (Venezie),"There's a generous, sunny quality to this Italian Pinot Grigio that comes across with ripe aromas of apricot, melon and Golden Delicious apple. There's a fullness to the mouthfeel as well with soft, slightly sweet fruit flavors at the end.",,,13.0,,Pinot Grigio,Venezie,,Northeastern Italy,Italy,La di Motte
4135,84,Laurier 2009 Chardonnay (Los Carneros),"Like a fruit juice drink, with sugary pineapple, mango and orange flavors. The acidity is bright, but this Chardonnay is more like a dessert wine than a dry table wine.",,,18.0,,Chardonnay,Los Carneros,Napa-Sonoma,California,US,Laurier
4136,84,Maipe 2011 Rosé of Malbec Rosé (Mendoza),"Crisp up front, but not overly aromatic or fruity. Feels kind of thick and chewy, with gummy, sweet berry flavors that suggest cherry and plum. Feels a little cloying and cooked on the finish, especially for a young 2011.",Michael Schachner,@wineschach,13.0,Rosé of Malbec,Rosé,Mendoza,,Mendoza Province,Argentina,Maipe
4137,84,McFadden 2009 Old Vine Zinfandel (Mendocino),A very minty old vine Zin from organically farmed grapes that tastes of not-quite-ripe strawberry jam and is otherwise smooth and peppery.,Virginie Boone,@vboone,24.0,Old Vine,Zinfandel,Mendocino,,California,US,McFadden
4138,84,Lava Cap 2007 Merlot (El Dorado),"Simple and jammy, with sharp flavors of raspberries, cherries, gingersnap cookies and spices. Tasty and sweet, but lacking the structure to contain all that richness.",,,20.0,,Merlot,El Dorado,Sierra Foothills,California,US,Lava Cap
4139,84,San Simeon 2007 Merlot (Paso Robles),"Irregular tannins and acidity give this wine a harsh mouthfeel. On the plus side, it's fresh in berry fruit, even though it's more than four years of age. Drink up.",,,25.0,,Merlot,Paso Robles,Central Coast,California,US,San Simeon
4140,84,Santa Sofia 2010  Soave Classico,"Simple and bright with clean lines, this easy-drinking Soave Classico offers citrus, white peach and talc powder aromas. Pair it with fried finger foods or spicy Thai spring rolls.",,,13.0,,Garganega,Soave Classico,,Veneto,Italy,Santa Sofia
4141,84,Alysian 2009 Westwise Farms Clone 4 Chardonnay (Russian River Valley),"Tastes overworked and sweetly heavy, with super-extracted pineapple jam, orange tapioca and butterscotch flavors. A heavy hand has been applied here.",,,40.0,Westwise Farms Clone 4,Chardonnay,Russian River Valley,Sonoma,California,US,Alysian
4142,84,Carpineto 2010 Valcolomba Vermentino (Maremma),"Valcolomba is a pure expression of Vermentino from Maremma in southern Italy with ripe aromas of melon, peach and passion fruit. The mouthfeel is smooth, easy and creamy soft.",,,,Valcolomba,Vermentino,Maremma,,Tuscany,Italy,Carpineto
4143,84,Donovan-Parke 2010 Sauvignon Blanc (California),"This is a sugary-sweet Sauvignon Blanc, with the flavor of a pineapple, pear and orange fruit drink. It's a little on the soft side, which accentuates the sweetness.",,,15.0,,Sauvignon Blanc,California,California Other,California,US,Donovan-Parke
